Inv. Nr.,Pavadinimas,Kiekis,Plotas,Verte,Likut. Verte,Likv.verte,Turto grupe,Atsakingas,Skyrius,Ekspl. Vieta,Metodas,Norma,Men.suma,Pirkimo data,Ekspl. Pradzia,Devesis iki,Valdymo teise,Nuosavybe,Statistika,Isigijimo budas,Pask.oper.data
610251,Lauko inf.stendas/pagamin. ár.Baèiûnø g./Pra,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/11/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
610252,Lauko inform.stendas/pagam. ir áreng.Energet,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/11/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
610253,Lauko inf.stendas/pag. áreng.Vyturiø g/ðalia,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/31/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
130132,Skaitlys HP Scan Jet 11P,"1,000",,1594.07,0,0,Kita biuro áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"8,00",0,6/19/2006,6/19/2006,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,10/30/2015
130217,Maitinimo ðaltinis,"1,000",,547.67,0,0,Kompiuteriai ir jø áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"5,00",0,6/19/2006,6/19/2006,11/30/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,10/30/2015
160002,Staliukas/kompiuter./,"1,000",,359.71,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,12 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160004,Áriðimo árenginys''Kamborela'',"1,000",,534.64,0,0,Kita biuro áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"8,00",0,6/19/2006,6/19/2006,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160013,Magnetola''Panasonic'',"1,000",,424.29,0,0,Kitas ilgalaikis materialusis turtas,Dainutë Dubinienë,Ðvietimo skyrius,13 kab.,Tiesinis metais,"10,00",0,6/19/2006,6/19/2006,,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,12/31/2014
160014,Magnetola''Panasonic'',"1,000",,424.29,0,0,Kitas ilgalaikis materialusis turtas,Dainutë Dubinienë,Ðvietimo skyrius,20 kab.,Tiesinis metais,"10,00",0,6/19/2006,6/19/2006,,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,12/31/2014
160275,Baldø kompl.''Pakalnutë'',"1,000",,480.19,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,20 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160432,Baldø kompl./svetainës/,"1,000",,857.85,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,19 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160437,Spinteliø kompl./virtuviniø/,"1,000",,463.39,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,virtuvëlë,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
