Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Verduli? g. 33-7,5.2.1,100154,"26,065.80","1,182.65","24,883.15",79.69
Gardino g. 15-32,5.2.1,100155,"21,431.88",972.33,"20,459.55",50.23
Geguži? g. 29-30,5.2.1,100156,"24,328.08","1,103.85","23,224.23",63.63
Radviliškio g. 62-5,5.2.1,100157,"18,390.87",834.46,"17,556.41",52.70
Naujo ryto takas 2-27,5.2.1,100158,"28,962.00","1,314.04","27,647.96",61.77
 Dubijos g. 29-34,5.2.1,100159,"16,508.34",749.08,"15,759.26",43.17
Architekt? g. 24-9,5.2.1,100160,"28,962.00","1,314.04","27,647.96",64.39
Talšos g. 6-57,5.2.1,100161,"30,699.72","1,392.94","29,306.78",61.70
Geguži? g. 80-1,5.2.1,100448,"25,486.56","1,132.74","24,353.82",84.85
Geguži? g. 67-58,5.2.1,100754,"26,645.04","1,159.58","25,485.46",64.72
Krymo g. 42-59,5.2.1,101211,"13,612.14",504.11,"13,108.03",36.15
 Lyros g. 7-28,5.2.1,101212,"16,218.72",600.72,"15,618.00",35.91
Geguži? g. 25-59,5.2.1,101213,"12,077.15",447.26,"11,629.89",30.48
Aukštabalio g. 4-44,5.2.1,101263,"12,453.66",449.66,"12,004.00",30.27
Gytari? g. 43-23,5.2.1,101264,"15,639.48",564.75,"15,074.73",36.19
Tilž?s g. 175-86,5.2.1,101265,"12,743.28",460.18,"12,283.10",29.30
Radviliškio g. 96-34,5.2.1,101266,"12,743.28",460.18,"12,283.10",31.59
S. Dariaus ir S. Gir?no g. 16-53,5.2.1,101355,"12,453.66",438.13,"12,015.53",30.41
 Architekt? g. 18C-44,5.2.1,101356,"14,770.62",519.74,"14,250.88",36.21
 K. Korsako g. 115-20,5.2.1,101357,"16,218.72",570.68,"15,648.04",36.42
Aukštabalio g. 4-82,5.2.1,101358,"13,032.90",458.62,"12,574.28",30.70
 Liepori? g. 3-11,5.2.1,101359,"12,453.66",438.13,"12,015.53",29.11
Aukštabalio g. 12-25,5.2.1,101360,"13,756.95",484.06,"13,272.89",30.03
Gardino g. 25-3,5.2.1,102047,34.46,15.33,19.13,64.78
Sevastopolio g. 1-15,953,103238,"24,762.51",619.06,"24,143.45",49.91
Radviliškio g. 100-13,953,103240,"17,377.20",418.32,"16,958.88",53.23
Liepori? g. 11-79,953,103251,"21,287.07",473.03,"20,814.04",47.01
Žemait?s g. 34-5,953,103252,"21,142.26",509.03,"20,633.23",43.07
Draugyst?s pr. 3-15,953,103269,"20,128.59",484.60,"19,643.99",43.39
Geguži? g. 83-64,953,103284,"29,830.86",718.13,"29,112.73",67.68
Geguži? g. 88-43,953,103285,"31,858.20",766.97,"31,091.23",64.52
Dain? g. 68-3,953,103298,"25,196.94",606.57,"24,590.37",63.88
