Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Plotas m2
"Sarg? postas, Aerouosto g. 102",104,1,"1,020.04","1,020.04",,11.32
"Aerouosto g. 102, Štabas ",115,2,"4,020.51","4,020.51",,101.98
"Aerouosto g. 102, katilin?",126,3,"3,821.83","3,821.83",,122.75
"Garažas, Aerouosto g. 102",138,4,"7,288.00","7,288.00",,234.31
"Aerouosto g. 102, kareivin?s",148,5,"13,261.99","13,261.99",,143.1
"Sand?lis, Aerouosto g. 102",156,6,"7,541.71","7,541.71",,714.46
"Sarg? postas, Aerouosto g. 102",157,7,"1,026.12","1,026.12",,7.17
"Sand?lis, Aerouosto g. 102",158,8,705.51,705.51,,30.24
"Sand?lis, Aerouosto g. 102",159,9,738.24,738.24,,46.6
"Sand?lis, Aerouosto g. 102",160,10,"3,300.51","3,300.51",,465.85
"Sand?lis, Aerouosto g.102",161,11,"9,541.53","9,541.53",,409.85
"Sand?lis, Aerouosto g. 102",162,12,"10,801.67","10,801.67",,479.5
"Sand?lis, Aerouosto g. 102",163,13,"6,487.49","6,487.49",,82.84
"Sand?lis, Aerouosto g. 102",164,14,689.3,689.3,,380.03
"Sarg? postas, Aerouosto g. 102",165,15,"5,960.38","5,960.38",,139.75
"Sand?lis, Aerouosto g.102",166,16,137.28,137.28,,11.18
"Sand?lis, Aerouosto g. 102",167,17,148.29,148.29,,1.12
"Sl?ptuv?, Aerouosto g. 102",168,18,"4,257.41","4,257.41",,42.71
"Saugykla, Aerouosto g. 102",169,19,122.8,122.8,,33
"Garažas, Aerouosto g. 103",170,20,359.71,359.71,,545
Garažas. Aerouosto g. 103,171,21,221.27,221.27,,339
"Garažas, Aeropuosto g. 103",172,22,99.92,99.92,,785
"Aerouosto g. 103, Ferma",173,23,646.14,646.14,,700
Aido g. 16 a,,105459,"50,420.90","16,965.67","33,455.23",200.47
Vilniaus g. 125,1371,130006,"1,702,040.66","1,179,001.67","523,038.99","5,130.32"
Vilniaus g. 100,1372,130008,53.85,29.21,24.64,57.56
Gumbin?s g. 110-112,1373,130011,28.55,9.36,19.19,16.42
Aušros al?ja 15 (n.d. 1-21;1-22 patalpa),1374,130013,"2,672.33","2,672.04",0.29,30.69
Aušros al?ja 64,1375,130017,"2,505.75","2,112.71",393.04,582.71
K.Jankausko g. 23,1376,130023,"5,000.87",820.54,"4,180.33",184.94
Spindulio g. 5,1377,130025,72.98,22.04,50.94,105.12
Sukil?li? g. 41  (buv?s Nr.2),1378,130026,"8,514.83","6,593.62","1,921.21",287.69
Tilž?s g. 126 a,1379,130027,"3,820.51","3,820.22",0.29,130.7
Tilž?s g. 154,1382,130038,"2,075.83","1,425.51",650.32,57
Tilž?s g. 152,1381,130039,"3,114.05","2,125.29",988.76,99.18
Vilniaus g. 100,1385,130047,"5,817.30","3,524.55","2,292.75",257.59
Vilniaus g. 170,1388,130054,"2,175.64","1,383.19",792.45,71.31
Vilniaus g. 213 - 41,1390,130059,"2,253.95","1,352.45",901.5,56.35
Vilniaus g. 213,1389,130060,"15,287.40","10,103.72","5,183.68",268.12
Vytauto g. 149,1393,130070,"1,510.04",721.75,788.29,42.17
Tilž?s g. 148,1394,130074,"7,918.16","5,398.55","2,519.61",95.4
Energetik? g. 18,1400,130081,"18,717.56","3,557.84","15,159.72",203.74
Varpo g. 9 priestatas,1406,130089,"1,349,856.90","325,923.85","1,023,933.05","2,433.96"
Motiekai?io g.35,1421,130140,"1,291.95",827.15,464.8,"1,562.38"
Radviliškio g. 118 a,1422,130142,"2,419.45","1,438.38",981.07,283.24
Aušros al?ja 48,1423,130162,"12,403.09","6,725.96","5,677.13",437.01
Spindulio g. 5,1425,130184,7.28,2.71,4.57,5.84
Tilž?s g. 107,1438,130195,"8,701.34","8,701.05",0.29,309.52
Tilž?s g. 126 a,1440,130196,"2,576.14","2,576.14",,84.03
Vilniaus g. 88,1434,130197,"24,537.90","11,192.59","13,345.31",220.06
"Pag?gi? 72, Buitin?s patalpos, sand?lis ",1444,130200,"10,785.45","2,193.03","8,592.42",1
Aušros al?ja 15(s.d.),1450,130206,"5,003.76","2,872.23","2,131.53",427.78
Margi? g. 10A-501 katilin?,1451,130208,"41,351.12","21,418.49","19,932.63",22.61
Vytauto 103a,1452,130208,"37,826.11","19,322.81","18,503.30",406.83
Vasario 16-osios 61 (tualetas),1456,"130215,","25,590.14","3,866.95","21,723.19",37.66
Ežero g. 16,1460,130228,"2,971.57","1,955.35","1,016.22",133.91
"Basanavi?iaus g. 11, pirties pastatas",1463,130232,"139,698.47","33,278.62","106,419.85",853.9
"Basanavi?iaus g. 11,  dirbtuv?s ",1464,130233,"11,735.23","2,480.00","9,255.23",53.26
Ba?i?n? g. 27 a,1465,130236,"15,465.71","9,618.47","5,847.24",407.62
Basanavi?iaus g. 100,1466,130237-,"15,039.57","11,353.27","3,686.30",535.48
"Buitin?s patalpos, Šiauli? r. sav. Kairi? k.",1467,130238,"12,743.28","1,656.67","11,086.61",74.41
"Svarstykl?s, Šiauli? r. sav. Kairi? sav.",1468,130242,"1,737.72",225.79,"1,511.93",156
"Sand?lis, Šiauli? r. sav. Kairi? k.",1469,130243,289.62,37.6,252.02,113
Ežero g. 16,1471,130244,"5,496.70",780.28,"4,716.42",1
"?kinis pastatas, Šiauli? r. sav. Kairi? k.",1470,130245,579.24,75.36,503.88,6
"Grotos, ŠU gimnazija",1473,130250,379.69,217.54,162.15,1
Aušros al?ja 15 (n.d. 1-33 patalpa),1478,130252,176.53,151.21,25.32,14.31
Lyros g. 13,1479,130253,716.9,122.33,594.57,46.99
Dvaro g. 78,1480,130255,"113,928.46","51,859.35","62,069.11",621.71
Aido g. 10A,1477,130256,"30,692.30","5,766.79","24,925.51",89.43
Varpo g. 15,1481,130257,"6,772.60","1,863.28","4,909.32",52.13
Draugyst?s prospektas   23,1485,130263,"5,792.40",748.87,"5,043.53",28.3
Tilž?s g. 164 A,1486,130267,614.08,381.42,232.66,25.86
Tilž?s g.44,1487,130268,15.64,6.86,8.78,34.56
"Tilž?s g. 322, Gink?n? kapini? pastatas",1490,130273,"8,860.70","1,197.93","7,662.77",227.65
"Donelai?io g. 85, Donelai?io kapini? pastatas",1491,130274,"6,727.51",480.02,"6,247.49",63.54
"K.Jankausko g. 35 (cerkv?, zakristija)",1492,130276,"14,712.68","1,257.77","13,454.91",259.78
Vilniaus g. 100,1494,130278,"28,086.74","2,360.34","25,726.40",1
Spindulio g. 5,1498,130282,"26,160.63","2,424.10","23,736.53",1
"Vytauto g. 101, stogin?",1499,130283,"7,790.59","2,973.93","4,816.66",139
"Basanavi?iaus g.11, katilin?",1503,130289,"275,139.02","20,731.29","254,407.73",240.83
Aušros al?ja 15 (s.d.),1507,130296,"15,162.35","2,673.93","12,488.42",115.02
Varpo g. 27,1508,130297,"3,616.76","1,924.52","1,692.24",136.92
Trak? g.34/127.17kv.m/soc.param.archyvas/,,130300,"3,161.78","1,738.73","1,423.05",
"Energetik? g.6-39/89.16kv.m/=r?sio pl.39.47,I",,130301,"8,494.62","2,168.15","6,326.47",
Trak? g.40/197.31kv.m/I aukštas,,130302,"230,751.99","43,759.39","186,992.60",
Vytauto g.147 /77.89kv.m/,,130303,"19,213.69","2,944.81","16,268.88",
"Mokyklos g.14-17,Šventojoje/51.93kv.m/",,130304,"8,396.08","1,776.04","6,620.04",
Varpo g.27A/171.17kv.m/Sporto sk./,,130308,"9,088.86","3,575.01","5,513.85",
Trak? g.40/369.76kv.m/,,130310,"272,019.37","75,316.77","196,702.60",
Varpo g.15/629.96kv.m//bank.pask.119490Lt2005,,130311,"192,844.60","33,988.36","158,856.24",
Energetik? g.6-39/89.67kv.m/,,130314,"8,543.21","2,245.29","6,297.92",
Dvaro g.78/524.90kv.m/,,130315-2,"96,238.13","41,637.02","54,601.11",
Aušros al.29/389.26 kv.m/bank.pask31800Lt2005,,130316,"23,789.68","11,725.76","12,063.92",
Aido g.10A /289.79 kv.m./,,130318,"99,455.80","18,957.60","80,498.20",
Pastatas su kiemo statiniais Dain? g. 35,5.2.2,130327,"272,053.70","138,279.04","133,774.66","2,460.18"
Tiesos g. 3,5.2.2,130329,"44,649.88","25,387.37","19,262.51",950.79
Pramon?s g. 13,5.2.2,130348,"484,759.75","87,090.70","397,669.05","2,516.34"
"Garažas, Dubijos g. 18",5.2.2,130352,"2,461.77","1,012.77","1,449.00",27.13
"Aerouosto g. 11A, transformatorin?",5.2.2,130356,"27,513.90",713.37,"26,800.53",51.84
Lyros g. 13,5.2.2,130359,"58,391.16","7,108.67","51,282.49",205.69
Dain? g.33,321,130360,"2,160,818.92","507,761.27","1,653,057.65","8,099.75"
Krymo g.1,5.2.2,130369,"126,562.98","67,024.42","59,538.56","1,013.87"
Krymo g. 1,5.2.2,130370,"95,516.68","50,563.45","44,953.23",802.09
Aukštabalio multifunkcinis kompleksas J. Jablonskio g. 16,5.2.2,130371,"17,504,798.33","1,618,830.62","15,885,967.71",
"Radviliškio g. 47, sand?lis",5.2.2,130374,"17,059.00",79,"16,980.00",
"Radviliškio g. 47, gamybinis pastatas",5.2.2,130375,"3,562.00",16.5,"3,545.50",
"Tilž?s g. 128, ?kinis pastatas",5.2.2,130380,"2,700.00",5,"2,695.00",
"Tilž?s g. 128, garažas",5.2.2,130381,"1,090.00",2.02,"1,087.98",
Vytauto g. 101,5.2.2,130382,"1,900,441.64","1,212,092.02","688,349.62","6,396.76"
Aido g. 18,1502,130383,"601,513.65","238,282.52","363,231.13","2,054.89"
Pramon?s g. 15A,1495,130384,"1,260,280.10","156,932.91","1,103,347.19","1,644.62"
Žemait?s g. 71,1518,1310011,"157,946.88","95,825.36","62,121.52","1,049.03"
"Žemait?s g. 71, sand?lis, 19 kv.m.",1519,1310012,"2,026.47","2,026.47",,19
"Žemait?s g. 71, sand?lis",1520,1310013,"2,365.33","2,365.33",,22
